metric,label,pct
smsp__warp_issue_stalled_not_selected_per_warp_active.pct,not_selected,19.5400
smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,long_scoreboard,19.0300
smsp__warp_issue_stalled_barrier_per_warp_active.pct,barrier,11.0100
smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,mio_throttle,9.5200
smsp__warp_issue_stalled_wait_per_warp_active.pct,wait,7.5200
smsp__warp_issue_stalled_selected_per_warp_active.pct,selected,6.6100
smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,no_instruction,2.8800
smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,short_scoreboard,2.2900
smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,dispatch_stall,1.7300
smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,branch_resolving,0.1400
smsp__warp_issue_stalled_drain_per_warp_active.pct,drain,0.0600
smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,lg_throttle,0.0400
smsp__warp_issue_stalled_membar_per_warp_active.pct,membar,0.0000
smsp__warp_issue_stalled_misc_per_warp_active.pct,misc,0.0000
smsp__warp_issue_stalled_sleeping_per_warp_active.pct,sleeping,0.0000
smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct,tex_throttle,0.0000
